Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C16","100nF","C_0603_1608Metric",79.690000,-114.970000,180.000000,B
"C20","100nF","C_0603_1608Metric",79.675000,-109.030000,180.000000,B
"C21","100nF","C_0603_1608Metric",82.250000,-107.650000,90.000000,B
"C22","100nF","C_0603_1608Metric",85.170000,-107.655000,90.000000,B
"C23","100nF","C_0603_1608Metric",86.630000,-107.655000,90.000000,B
"C24","100nF","C_0603_1608Metric",88.090000,-107.655000,90.000000,B
"C25","100nF","C_0603_1608Metric",89.970000,-109.900000,0.000000,B
"C26","100nF","C_0603_1608Metric",79.675000,-110.500000,180.000000,B
"C27","100nF","C_0603_1608Metric",79.670000,-113.470000,180.000000,B
"C28","100nF","C_0603_1608Metric",89.990000,-114.300000,0.000000,B
"C29","100nF","C_0603_1608Metric",89.980000,-115.780000,0.000000,B
"C30","100nF","C_0603_1608Metric",79.690000,-118.030000,180.000000,B
"C31","100nF","C_0603_1608Metric",83.250000,-118.040000,-90.000000,B
"C32","100nF","C_0603_1608Metric",84.760000,-118.035000,-90.000000,B
"C33","100nF","C_0603_1608Metric",87.750000,-118.030000,-90.000000,B
"C34","100nF","C_0603_1608Metric",89.980000,-112.840000,0.000000,B
"C35","100nF","C_0603_1608Metric",79.700000,-116.500000,180.000000,B
"C36","100nF","C_0603_1608Metric",83.710000,-107.660000,90.000000,B
"C37","100nF","C_0603_1608Metric",89.980000,-111.380000,0.000000,B
"C38","100nF","C_0603_1608Metric",86.270000,-118.030000,-90.000000,B
"C39","100nF","C_0603_1608Metric",79.670000,-111.970000,180.000000,B
"C1","10pF","C_0603_1608Metric",71.820000,-80.985000,90.000000,T
"C2","22pF","C_0603_1608Metric",70.050000,-80.955000,90.000000,T
"C3","22nF","C_0603_1608Metric",91.405000,-88.975000,90.000000,T
"C4","22nF","C_0603_1608Metric",84.330000,-89.090000,90.000000,T
"C5","100nF","C_0603_1608Metric",89.650000,-98.670000,180.000000,T
"C6","100nF","C_0603_1608Metric",82.570000,-98.720000,180.000000,T
"C7","22nF","C_0603_1608Metric",78.070000,-89.200000,90.000000,T
"C8","22nF","C_0603_1608Metric",98.160000,-88.710000,90.000000,T
"C9","100nF","C_0603_1608Metric",76.275000,-98.830000,180.000000,T
"C10","100nF","C_0603_1608Metric",96.380000,-98.380000,180.000000,T
"C11","100nF","C_0603_1608Metric",79.080000,-122.210000,-90.000000,T
"C12","100nF","C_0603_1608Metric",75.050000,-123.871200,180.000000,T
"C13","15pF","C_0603_1608Metric",79.530000,-111.980000,90.000000,T
"C14","15pF","C_0603_1608Metric",79.540000,-114.935000,-90.000000,T
"C15","100nF","C_0603_1608Metric",72.890000,-96.740000,90.000000,T
"C17","2.2uF","C_0603_1608Metric",83.290000,-106.830000,90.000000,T
"C18","2.2uF","C_0603_1608Metric",90.795000,-111.380000,0.000000,T
"C19","2.2uF","C_0603_1608Metric",86.290000,-118.900000,-90.000000,T
"C40","220uF","CP_Elec_6.3x5.4",96.590000,-80.110000,90.000000,T
"C41","22uF","C_0603_1608Metric",105.150000,-73.390000,90.000000,T
"C42","3.3nF","C_0603_1608Metric",75.395000,-72.570000,0.000000,T
"C43","10uF","C_0805_2012Metric",74.870000,-75.190000,-90.000000,T
"C44","22uF","C_0603_1608Metric",76.960000,-83.250000,180.000000,T
"D1","LED_RGBA","LED_RGB_1210",98.020000,-122.080000,-90.000000,T
"L1","2.2ÂµH","L_Coilcraft_XxL4020",77.705000,-80.250000,180.000000,T
"R1","5.1k","R_0603_1608Metric",79.990000,-71.370000,180.000000,T
"R2","5.1k","R_0603_1608Metric",87.200000,-83.845000,-90.000000,T
"R3","60R","R_0603_1608Metric",89.905000,-88.975000,-90.000000,T
"R4","60R","R_0603_1608Metric",88.405000,-88.975000,90.000000,T
"R5","60R","R_0603_1608Metric",82.830000,-89.090000,-90.000000,T
"R6","60R","R_0603_1608Metric",81.330000,-89.115000,90.000000,T
"R7","60R","R_0603_1608Metric",76.570000,-89.200000,-90.000000,T
"R8","60R","R_0603_1608Metric",75.070000,-89.225000,90.000000,T
"R9","60R","R_0603_1608Metric",96.660000,-88.685000,-90.000000,T
"R10","60R","R_0603_1608Metric",95.160000,-88.685000,90.000000,T
"R11","10k","R_0603_1608Metric",72.130000,-122.266200,0.000000,T
"R12","10k","R_0603_1608Metric",72.110000,-120.746200,0.000000,T
"R13","330R","R_0603_1608Metric",98.180000,-118.350000,0.000000,T
"R14","100R","R_0603_1608Metric",95.590000,-120.490000,-90.000000,T
"R15","100R","R_0603_1608Metric",95.630000,-123.470000,-90.000000,T
"R16","10k","R_0603_1608Metric",71.450000,-89.220000,90.000000,T
"R17","10k","R_0603_1608Metric",71.430000,-96.735000,-90.000000,T
"SW1","BTN","SW_SPST_EVQP2_ShortPushTravel_H2.1mm",68.680000,-87.450000,90.000000,T
"SW2","BTN","SW_SPST_EVQP2_ShortPushTravel_H2.1mm",68.700000,-94.600000,90.000000,T
"U1","AMS1117-3.3","SOT-223-3_TabPin2",70.270000,-75.080000,90.000000,T
"U2","TJA1042T","SOIC-8_3.9x4.9mm_P1.27mm",89.705000,-94.175000,90.000000,T
"U3","TJA1042T","SOIC-8_3.9x4.9mm_P1.27mm",82.580000,-94.290000,90.000000,T
"U4","TJA1042T","SOIC-8_3.9x4.9mm_P1.27mm",76.320000,-94.400000,90.000000,T
"U5","TJA1042T","SOIC-8_3.9x4.9mm_P1.27mm",96.410000,-93.910000,90.000000,T
"U6","LSM6DSOXTR","PQFN50P250X300X86-14N",76.540000,-121.586200,0.000000,T
"U7","STM32H725AGIx","UFBGA-169_7x7mm_Layout13x13_P0.5mm",84.790000,-112.860000,0.000000,T
"U8","TPS62133","VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias",78.040000,-75.122500,180.000000,T
"USBC1","~","USB-C-SMD_TYPE-C-USB-20",86.260000,-76.255000,180.000000,T
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",76.660000,-113.580000,0.000000,T
